10										
913	0	0.343068626	0.454887048	0.297666544	0.357499334	0.447516104	0.442568802	0.206399041	0.303500321	0.361413957
830	0.343068626	0	0.428848832	0.317825185	0.229743712	0.365507464	0.367365511	0.352129972	0.298543408	0.305331132
662	0.454887048	0.428848832	0	0.424816339	0.502893427	0.45327694	0.410999922	0.486233108	0.396444854	0.361316882
782	0.297666544	0.317825185	0.424816339	0	0.338054769	0.416864504	0.40792157	0.331853179	0.201737722	0.340076719
830c	0.357499334	0.229743712	0.502893427	0.338054769	0	0.345652027	0.362183112	0.336494006	0.303726305	0.291222593
888c	0.447516104	0.365507464	0.45327694	0.416864504	0.345652027	0	0.206851259	0.415750091	0.398638745	0.297526462
888	0.442568802	0.367365511	0.410999922	0.40792157	0.362183112	0.206851259	0	0.419933979	0.39527955	0.318372178
913c	0.206399041	0.352129972	0.486233108	0.331853179	0.336494006	0.415750091	0.419933979	0	0.33520119	0.324369615
782c	0.303500321	0.298543408	0.396444854	0.201737722	0.303726305	0.398638745	0.39527955	0.33520119	0	0.311242503
662c	0.361413957	0.305331132	0.361316882	0.340076719	0.291222593	0.297526462	0.318372178	0.324369615	0.311242503	0
