Cow	Breed	DMI	MY	FE
Jersey1	Jersey	18.6	19.7	1.06
Jersey2	Jersey	19.2	21.3	1.11
Jersey3	Jersey	19.1	27.7	1.45
Jersey4	Jersey	20	26.4	1.32
Holstein1	Holstein	24.2	36.1	1.49
Holstein2	Holstein	24.5	37.8	1.54
Holstein3	Holstein	21.6	27.1	1.25
Holstein4	Holstein	23.9	43.8	1.83
Holstein5	Holstein	24.9	47.9	1.92
